fid0725,regionname,const230_h,round,respno,urb,r4,central,male,eth_akan,eth_ewe,eth_ga,eth_dagomba,eth_other,vote_npp_pres,vote_ndc_pres,economy_oneyear,poverty,unfair,trustown,trustother,gov_sentus,responsself,akan_5km_l_p,ewe_5km_l_p,akan_30km_l_p,ewe_30km_l_p,dev_factor2,h_30rad_e,popdens5x5
2346,UPPER EAST,BINDURI,ROUND3,GHA0001,0,0,0,1,0,0,0,0,1,0,0,3,-0.1112553,1,1,1,0,0,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0001,0,1,0,1,1,0,0,0,0,1,0,4,-0.5919405,1,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
2346,UPPER EAST,BINDURI,ROUND3,GHA0002,0,0,0,1,0,0,0,0,1,0,1,2,0.4750524,1,1,1,1,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0002,0,1,0,0,1,0,0,0,0,1,0,4,1.234135,1,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
3089,WESTERN,JOMORO,ROUND4,GHA0003,0,1,0,1,0,0,0,0,1,0,1,5,0.0900797,1,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
2346,UPPER EAST,BINDURI,ROUND3,GHA0003,0,0,0,1,0,0,0,0,1,0,0,1,-0.0841528,1,0,0,1,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
2346,UPPER EAST,BINDURI,ROUND3,GHA0004,0,0,0,0,0,0,0,0,1,0,0,3,-0.7241102,0,0,0,0,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0004,0,1,0,0,0,0,0,0,1,1,0,4,-0.5919405,1,,,0,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
2346,UPPER EAST,BINDURI,ROUND3,GHA0005,0,0,0,0,0,0,0,0,1,0,0,2,1.098601,1,0,0,0,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0005,0,1,0,1,1,0,0,0,0,0,1,3,1.849839,1,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
2346,UPPER EAST,BINDURI,ROUND3,GHA0006,0,0,0,0,0,0,0,0,1,0,1,3,-0.1378025,0,1,1,1,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0006,0,1,0,0,0,0,0,0,1,1,0,4,-1.122426,1,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
2346,UPPER EAST,BINDURI,ROUND3,GHA0007,0,0,0,1,0,0,0,0,1,1,0,2,1.068272,1,1,1,0,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0007,0,1,0,1,0,0,0,0,1,1,0,5,-0.5919405,0,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
2346,UPPER EAST,BINDURI,ROUND3,GHA0008,0,0,0,1,0,0,0,0,1,0,0,2,1.684909,1,1,1,0,1,0.2984015,0.2225371,0.0184821,0.0014566,-1.021189,0.1077422,179.8414
3089,WESTERN,JOMORO,ROUND4,GHA0008,0,1,0,0,1,0,0,0,0,1,0,4,1.849839,0,,,1,,0.8263642,0.0471502,0.9045151,0.0458309,-0.3809368,0.0747994,79.67924
3186,WESTERN,AHANTA WEST,ROUND4,GHA0009,0,1,0,1,0,0,0,0,1,0,0,3,-1.122426,1,,,0,,0.8364948,0.0164854,0.9229773,0.0276407,-0.6275091,0.0247573,50.12851
